,Close,Volume,Open,High,Low
950,99.69000244140624,2702099,98.66000366210938,99.8499984741211,98.5
951,98.08999633789062,2543630,99.0,99.13999938964844,97.5999984741211
952,98.9800033569336,1726498,98.3000030517578,99.37999725341795,98.1999969482422
953,100.04000091552734,2408410,99.0500030517578,100.65499877929688,98.9000015258789
954,100.02999877929688,1108229,99.97000122070312,100.55999755859376,99.6999969482422
955,100.6999969482422,2252750,100.98999786376952,101.19000244140624,100.29000091552734
956,100.63999938964844,1577672,100.88999938964844,101.0,100.31999969482422
957,101.5999984741211,2162969,101.16999816894533,102.22000122070312,100.61000061035156
958,100.97000122070312,1473078,100.5999984741211,101.2300033569336,100.51000213623048
959,100.66999816894533,1448174,100.5,100.83000183105467,100.25
960,101.1999969482422,1210306,101.3499984741211,101.51000213623048,100.91999816894533
961,101.41999816894533,1652838,101.18000030517578,101.73999786376952,101.0
962,99.77999877929688,2642789,100.08999633789062,100.58000183105467,99.33000183105467
963,98.75,2641664,99.08999633789062,99.77999877929688,98.31999969482422
964,97.81999969482422,1348775,98.3000030517578,98.5999984741211,97.62999725341795
965,98.06999969482422,1686722,98.37999725341795,98.63999938964844,98.0199966430664
966,97.3499984741211,1662864,98.1999969482422,98.5500030517578,97.12000274658205
967,97.0,2289128,96.98999786376952,97.25,96.4000015258789
968,97.8000030517578,2273929,97.5500030517578,98.27999877929688,97.5500030517578
969,96.22000122070312,2033713,96.72000122070312,96.78500366210938,96.1500015258789
970,96.55999755859376,2533920,97.08999633789062,97.20999908447266,96.25
971,96.87000274658205,2162550,96.9000015258789,96.97000122070312,96.3000030517578
972,98.43000030517578,2307420,98.2699966430664,99.01000213623048,98.05999755859376
973,99.93000030517578,2507791,99.5999984741211,99.98999786376952,99.1999969482422
974,100.41999816894533,2282526,99.83999633789062,101.26000213623048,99.75
975,100.01000213623048,1806507,100.62999725341795,100.63999938964844,99.48999786376952
976,100.69000244140624,1432581,100.58000183105467,101.05999755859376,100.20999908447266
977,102.11000061035156,3152761,101.3000030517578,103.0,101.0999984741211
978,101.31999969482422,1407582,101.75,101.87999725341795,101.01000213623048
979,101.30999755859376,1472779,101.2300033569336,101.83999633789062,100.87000274658205
980,102.27999877929688,2049690,102.3499984741211,102.63999938964844,101.62000274658205
981,102.1500015258789,3169156,103.3000030517578,103.63999938964844,101.91999816894533
982,102.29000091552734,1993737,102.8000030517578,102.87999725341795,101.8499984741211
983,102.47000122070312,2729262,102.37999725341795,102.69000244140624,101.87000274658205
984,103.16999816894533,1627761,102.8000030517578,103.31999969482422,102.6999969482422
985,103.6999969482422,1970123,103.5199966430664,103.86000061035156,103.25
986,103.8000030517578,1292108,103.4000015258789,104.30999755859376,103.37999725341795
987,102.95999908447266,2421800,103.54000091552734,103.79000091552734,102.81999969482422
988,103.69000244140624,1275404,103.0999984741211,104.0500030517578,103.0
989,102.61000061035156,1288697,104.0199966430664,104.0199966430664,102.61000061035156
990,103.33999633789062,1397249,102.5,103.86000061035156,102.3499984741211
991,103.33000183105467,1277217,103.79000091552734,104.0500030517578,103.1999969482422
992,104.66000366210938,5016298,103.5500030517578,104.66000366210938,103.25
993,104.19000244140624,1781950,104.6500015258789,104.66000366210938,103.75
994,105.12000274658205,2121950,104.9499969482422,105.58000183105467,104.58999633789062
995,104.70999908447266,1417376,104.98999786376952,104.98999786376952,104.41000366210938
996,106.33999633789062,3135300,105.48999786376952,106.72000122070312,105.23999786376952
997,106.2699966430664,1747083,105.9800033569336,106.54000091552734,105.6999969482422
998,106.44000244140624,1434178,105.7699966430664,106.44000244140624,105.22000122070312
999,106.94000244140624,1395078,106.66999816894533,107.45500183105467,106.63999938964844
1000,107.41000366210938,1406122,106.7300033569336,107.63999938964844,106.6500015258789
1001,108.1500015258789,1727766,107.8000030517578,108.38999938964844,107.6050033569336
1002,109.5199966430664,2593767,108.91999816894533,109.5199966430664,108.62999725341795
1003,110.06999969482422,7159356,110.0,110.5,109.5199966430664
1004,110.0,1300270,109.5,110.12999725341795,109.13999938964844
1005,110.5999984741211,1966065,110.3499984741211,110.88999938964844,109.6500015258789
1006,110.97000122070312,2090455,110.8000030517578,111.1500015258789,110.6500015258789
1007,110.55999755859376,2830850,110.7300033569336,110.86000061035156,110.01000213623048
1008,110.5,3097447,110.19000244140624,110.83000183105467,110.16000366210938
1009,111.19000244140624,1017160,111.12000274658205,111.8499984741211,110.76000213623048
1010,112.29000091552734,1735707,111.80999755859376,112.29000091552734,111.55999755859376
1011,111.8000030517578,2170375,112.1500015258789,112.37000274658205,111.43000030517578
1012,113.61000061035156,1628690,111.8499984741211,113.61000061035156,111.79000091552734
1013,112.12999725341795,1207784,112.5999984741211,112.9800033569336,112.0199966430664
1014,111.48999786376952,1380616,112.3000030517578,112.3249969482422,110.94000244140624
1015,112.98999786376952,1502441,112.0,113.23999786376952,111.9000015258789
1016,111.9800033569336,1784232,112.76000213623048,113.22000122070312,111.87000274658205
1017,113.0199966430664,1510571,113.27999877929688,113.3000030517578,112.63999938964844
1018,112.04000091552734,1415900,112.97000122070312,113.3000030517578,112.04000091552734
1019,113.5999984741211,1667803,112.5,113.66000366210938,112.23999786376952
1020,113.62999725341795,1678657,113.0,113.8000030517578,112.8000030517578
1021,113.7300033569336,207240,113.5,113.8000030517578,113.1500015258789
1022,113.0,1896379,113.5,113.66000366210938,112.8000030517578
1023,112.33000183105467,2189913,112.81999969482422,112.98999786376952,111.70999908447266
1024,112.4800033569336,2131509,111.37000274658205,112.91000366210938,111.37000274658205
1025,113.27999877929688,4107588,113.12000274658205,113.9000015258789,112.70999908447266
1026,114.8000030517578,2353571,114.0,114.8499984741211,113.5500030517578
1027,115.66000366210938,2197384,114.9000015258789,115.9800033569336,114.70999908447266
1028,114.6999969482422,1509853,116.0,116.0,114.52999877929688
1029,114.86000061035156,1967920,115.0,115.13999938964844,114.0
1030,115.91999816894533,2017654,116.0,116.0,115.0
1031,116.0500030517578,1982285,116.12000274658205,116.94000244140624,115.7699966430664
1032,117.52999877929688,4128431,116.0,118.23999786376952,115.20500183105467
1033,114.0999984741211,2593915,116.6500015258789,116.8000030517578,114.0999984741211
1034,115.80999755859376,2545023,114.80999755859376,116.12000274658205,114.43000030517578
1035,115.4800033569336,1142496,115.0199966430664,115.4800033569336,113.97000122070312
